report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
2012,840660,5189,93,341,3384,1371,617.3,11.1,40.6,402.5,163.1
2012,464073,5889,105,257,3879,1648,1269.0,22.6,55.4,835.9,355.1
2012,1479393,11598,76,596,7102,3824,784.0,5.1,40.3,480.1,258.5
2012,469893,2705,32,115,1319,1239,575.7,6.8,24.5,280.7,263.7
2012,1074864,5458,75,161,3732,1490,507.8,7.0,15.0,347.2,138.6
2012,3855122,18547,299,936,8329,8983,481.1,7.8,24.3,216.1,233.0
2012,666200,3989,62,183,2350,1394,598.8,9.3,27.5,352.8,209.3
2012,657436,11417,134,428,7471,3384,1736.6,20.4,65.1,1136.4,514.7
2012,451391,1804,14,172,1149,469,399.7,3.1,38.1,254.6,103.9
2012,1144280,6046,81,267,4012,1686,528.4,7.1,23.3,350.6,147.3
2012,414327,4856,69,65,2626,2096,1172.0,16.7,15.7,633.8,505.9
2012,599395,7932,93,234,4508,3097,1323.3,15.5,39.0,752.1,516.7
2012,390240,3872,39,403,1711,1719,992.2,10.0,103.3,438.5,440.5
2012,980160,1795,14,102,850,829,183.1,1.4,10.4,86.7,84.6
2012,620886,7314,63,303,5232,1716,1178.0,10.2,48.8,842.7,276.4
2012,1057158,1654,12,56,863,723,156.5,1.1,5.3,81.6,68.4
2012,362874,2958,193,136,1564,1065,815.2,53.2,37.5,431.0,293.5
2012,8289415,52993,419,1162,31211,20201,639.3,5.1,14.0,376.5,243.7
2012,278906,3220,96,55,1093,1976,1154.5,34.4,19.7,391.9,708.5
2012,399487,7963,127,271,3227,4338,1993.3,31.8,67.8,807.8,1085.9
2012,595607,5474,85,389,3791,1209,919.1,14.3,65.3,636.5,203.0
2012,417970,2485,41,187,1442,815,594.5,9.8,44.7,345.0,195.0
2012,246513,2508,24,103,1778,603,1017.4,9.7,41.8,721.3,244.6
2012,1538957,17853,331,880,8658,7984,1160.1,21.5,57.2,562.6,518.8
2012,1485509,9458,123,556,5263,3516,636.7,8.3,37.4,354.3,236.7
2012,312112,2347,41,47,1125,1134,752.0,13.1,15.1,360.5,363.3
2012,598037,3093,20,231,1892,950,517.2,3.3,38.6,316.4,158.9
2012,670946,3955,49,145,1765,1996,589.5,7.3,21.6,263.1,297.5
2012,420594,1780,17,113,985,665,423.2,4.0,26.9,234.2,158.1
2012,476557,3520,34,125,2150,1211,738.6,7.1,26.2,451.2,254.1
2012,192465,1302,8,123,854,317,676.5,4.2,63.9,443.7,164.7
2012,1380123,6943,89,549,4441,1864,503.1,6.5,39.8,321.8,135.1
2012,1338477,5529,47,304,3661,1517,413.1,3.5,22.7,273.5,113.3
2012,820363,5777,69,108,2116,3484,704.2,8.4,13.2,257.9,424.7
2012,976459,3547,45,280,2014,1208,363.3,4.6,28.7,206.3,123.7
2012,626865,3782,25,123,2198,1436,603.3,4.0,19.6,350.6,229.1
2012,318667,5661,113,199,3571,1778,1776.5,35.5,62.5,1120.6,558.0
2012,1345578,1790,23,42,1044,681,133.0,1.7,3.1,77.6,50.6
2012,350758,2162,23,43,1523,573,616.4,6.6,12.3,434.2,163.4
2012,531535,3850,42,234,2314,1260,724.3,7.9,44.0,435.3,237.1
2012,398904,3949,42,316,2529,1062,990.0,10.5,79.2,634.0,266.2
2012,447588,751,21,57,346,327,167.8,4.7,12.7,77.3,73.1
