report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1991,532418,7221,43,398,4019,2761,1356.3,8.1,74.8,754.9,518.6
1991,399858,14076,260,342,8180,5294,3520.3,65,85.5,2045.7,1324
1991,1194436,3236,41,110,1402,1683,270.9,3.4,9.2,117.4,140.9
1991,287354,10030,56,335,6629,3010,3490.5,19.5,116.6,2306.9,1047.5
1991,414766,3896,24,332,2651,889,939.3,5.8,80.1,639.2,214.3
1991,370735,4923,42,414,2998,1469,1327.9,11.3,111.7,808.7,396.2
1991,399334,1087,27,127,421,512,272.2,6.8,31.8,105.4,128.2
1991,598000,14665,482,214,6704,7265,2452.3,80.6,35.8,1121.1,1214.9
1991,306339,2672,24,284,960,1404,872.2,7.8,92.7,313.4,458.3
1992,401529,6168,42,294,4372,1460,1536.1,10.5,73.2,1088.8,363.6
1992,272037,2056,16,146,1169,725,755.8,5.9,53.7,429.7,266.5
1992,410876,15856,198,627,9207,5824,3859.1,48.2,152.6,2240.8,1417.5
1992,233939,4064,16,182,3194,672,1737.2,6.8,77.8,1365.3,287.3
1992,483975,2850,37,294,1069,1450,588.9,7.7,60.8,220.9,299.6
1992,710514,7660,43,295,5029,2293,1078.1,6.1,41.5,707.8,322.7
1992,755517,21799,335,749,8452,12263,2885.3,44.3,99.1,1118.7,1623.1
1992,572822,11672,73,537,6297,4765,2037.6,12.7,93.8,1099.3,831.9
1992,330466,6367,76,346,2947,2998,1926.7,23,104.7,891.8,907.2
1992,408951,9456,99,361,5938,3058,2312.3,24.2,88.3,1452,747.8
1992,2832901,84242,960,3754,41080,38448,2973.7,33.9,132.5,1450.1,1357.2
1992,369707,5793,49,486,2964,2294,1566.9,13.3,131.5,801.7,620.5
1992,513487,8532,157,854,3098,4423,1661.6,30.6,166.3,603.3,861.4
1992,643028,7029,113,684,2647,3585,1093.1,17.6,106.4,411.7,557.5
1992,1046562,21682,387,1096,10667,9532,2071.7,37,104.7,1019.2,910.8
1992,492672,5303,95,437,2967,1804,1076.4,19.3,88.7,602.2,366.2
